text,true_label,svm_pred,nb_pred,transformer_pred,svm_correct,nb_correct,transformer_correct
abantu 4 bateeberezebwa okuba nga bafiiridde mu kabenjr akagudde e maya taxi eyabise omupiira,1,1,1,1,True,True,True
photos prayer meeting used portray driziliks show fourah bay amphitheatre,0,0,0,0,True,True,True
la transition bissauguinenne dureratelle trois ans aprs le putsch de novembre 2025,0,0,0,0,True,True,True
nakyobe orders removal campaign posters,1,1,1,1,True,True,True
president museveni ayimirizza ebyokusengula abantu ku ttaka lye kasokoso alagidde national housing enoonye ettaka ewalala,1,1,1,1,True,True,True
experts call greener cities climate change fuels health crisis africa,1,1,1,1,True,True,True
surrogacy wn alagbabi alaye bi knn ibaranir ryn ofege ati lfin e kb fun wn,0,0,0,0,True,True,True
ugandas tourism sector shows signs recovery postpandemic,1,1,1,1,True,True,True
ignore tiktok video claiming marburg outbreak uganda possible lockdowns,0,0,0,0,True,True,True
uetcl yasigala ebanja umeme obuwumbi bwa shs 500 essuubi lyokusasulwa likyali ttono,1,1,1,1,True,True,True
police arrest 20yearold updf impersonation inciting tiktok videos,1,1,0,1,True,False,True
altered video show president museveni threatening cnn journalist larry madowo presidency dismissed video fabricated,0,0,0,0,True,True,True
fake automatic 25 tax transactions amaechi claims,0,0,0,0,True,True,True
four ridiculous claims coups across west africa verified 2025,0,0,0,0,True,True,True
drkiiza besigye ne obed kamulegeya bazziddwayo ku alimanda baakudda mu kooti nga 13 january2025,1,1,1,1,True,True,True
ugandas government announces new measures support farmers amid climate change challenges,1,1,1,1,True,True,True
rvision de la liste lectorale au sngal une annonce infonde relaye sur les rseaux sociaux,0,0,0,0,True,True,True
government ereeta tteeka eriwera ebivvulu byabayimbi ku masomero nerabula nabasomesa abazeemu okukuba abayizi okukikomya,1,1,1,1,True,True,True
evidence new inec chairperson amupitan tinubus lawyer,0,0,0,0,True,True,True
drbesigye azeeyo mu kkomera e luzira embeeraye yeraliikirizza abawagizibe,1,1,1,1,True,True,True
ugandan president museveni didnt announce military reshuffle twitter,0,0,0,0,True,True,True
omusirikale wa updf afiiridde mu kabenje akagudde e bajja lukaya abalala baddusiddwa mu ddwaliro,1,1,1,1,True,True,True
bannanrm e luweero bakooye obupaangisa batandise okuziimba ekitebe,1,1,1,1,True,True,True
ugandas agricultural sector benefit new market access initiatives farmers,1,1,1,1,True,True,True
police ekutte 8 abagambibwa okubeera abazigu basangiddwa nemmundu mu district ye bugweri,1,1,1,1,True,True,True
nrm leaders move heal postelection divisions bunyangabu,1,1,1,1,True,True,True
fake president donald trump order total shutdown us borders us mission uganda said travel us continues,0,0,0,0,True,True,True
fake video showing ugandan military aircraft performing drills isnt recent video precedes musevenis declaration ownership indian ocean,0,0,0,0,True,True,True
president yoweri kaguta museveni agobye ssenkulu wa kcca dorothy kisaka nabamyuka,1,1,1,1,True,True,True
abavubi 2 bagudde mu nnyanja nnalubaale e mayuge nebafiiramu,1,1,1,1,True,True,True
fake liberias 2017 domestic revenue 452 million,0,0,0,0,True,True,True
akakiiko kebyokulonda kalangiridde olwa nga 15 january2026 kwekulonda president wa uganda nababaka ba parliament,1,1,1,1,True,True,True
obutabanguko mu maka omusajja atemyetemye mukyalawe namutta e namayingo,1,1,1,1,True,True,True
paapa waba orthodox beatitude theodoros ii atuuse mu uganda,1,1,1,1,True,True,True
fake video businessman ham kiggundu speaking traders lost merchandise downtown kampala floods original video june 2023 ham commenting case pitting diamond trust bank,0,0,0,0,True,True,True
uganda saudi arabia hold highlevel political consultations kampala,1,1,1,1,True,True,True
bnin aucune preuve natteste limplication du prsident du niger dans la tentative de coup detat,0,0,0,0,True,True,True
evidence 5g technology spreads covid19 virus,1,0,0,0,False,False,False
une dclaration de 2024 refait surface quelques semaines des lgislatives ivoiriennes,0,0,0,0,True,True,True
disregard fake sunday monitor front page headlined saleh spends billions stop kyagulanyi gulu,0,0,0,0,True,True,True
contrary popular claim nigeria police removing pockets officers uniform,0,0,0,0,True,True,True
ugandan president museveni didnt declare war social media platforms,0,0,0,0,True,True,True
une prsentation trompeuse de la guinebissau relaye sur tiktok,0,0,0,0,True,True,True
sanwoolus aide recirculates video obi saying lifted 439m people poverty,0,0,0,0,True,True,True
ugandas healthcare system expand access essential medicines rural areas,1,1,1,1,True,True,True
loole ya kasasiro etomedde abantu omu afiiriddewo,1,1,1,1,True,True,True
yaudara ce yan taadda ba su cire kan shugaban kungiyar kiristocin jihar adamawa ba,0,0,0,0,True,True,True
abavubuka abasoba mu 200 abakwatiddwa mu bikwekweto ebyakoleddwa abebyokwerinda mu wakiso nateete nakasero kira namugongo ne kiwologoma basimbiddwa mu maaso gomilamuzu nebasindikibwa alimanda,1,1,1,1,True,True,True
wrong lyrics fakely portray french players clip shared x influencer,0,0,0,0,True,True,True
bidiyon fafaroma francis da ya bayyana da hannayensa uku kirkirarre ne da fasahar ai,0,0,0,0,True,True,True
image abducted school student bandits recent,0,0,0,0,True,True,True
ministry health confirms outbreak ebola kampala,1,0,0,0,False,False,False
abaana 2 bafiiridde mu kidiba mwebabadde bawugira e kitende,1,1,1,1,True,True,True
shin sojan amurka sun kaddamar da hari kan mayakan iswap yankin tafkin chadi,0,0,0,0,True,True,True
enjeux et zones dombre du projet constitutionnel guinen lanalyse dun juriste,0,0,0,0,True,True,True
misleading barcelona sign sierra leonean footballer named cripsin kamara,0,0,0,0,True,True,True
scam botswanas finance ministry advertising business grants facebook,0,0,0,0,True,True,True
dubawas investigation facebook removes nigerian surrogacy groups,0,0,0,0,True,True,True
mining site viral video sierra leone zamfara,0,0,0,0,True,True,True
laccs internet estil interrompu en cte divoire avant la prsidentielle du 25 octobre,0,0,0,0,True,True,True
fake post claiming 15 people died accident seetajinja kampala highway misleading claim misleading images used recent events,0,0,0,0,True,True,True
akulira ebyokwerinda ku kyalo asangiddwa attiddwa mu district ye kyotera,1,1,1,1,True,True,True
fake chinese government withdraw support construction overpass liberia,0,0,0,0,True,True,True
police ekutte abantu 5 abateeberezebwa okubbisa emmundu kigambibwa beebatta eyali ekulira police e ntaawo mukono,1,1,1,1,True,True,True
bnin des retards douverture de postes de vote signals lors des lgislatives et municipales,0,0,0,0,True,True,True
omukulu wessomero akwatiddwa e kabale lwakugaana muyizi wa p7 okukola ebibuuzo bya ple ngessomero limubanja,1,1,1,1,True,True,True
ugandas government launch campaign promote tourism country,1,1,1,1,True,True,True
misleading manchester city announce jobs homeless people,0,0,0,0,True,True,True
ugandas government enhance disaster preparedness response capabilities,1,1,1,1,True,True,True
ugandas forex reserves hit new high 42 billion,1,1,1,1,True,True,True
une vido dtourne de son contexte pour faire croire la victoire de simone gbagbo la prsidentielle 2025 en cte divoire,0,0,0,0,True,True,True
parliament eyisizza etteeka eppya ku bibira nfa eggyiddwawo,1,1,1,1,True,True,True
kitalo paapa francis afiiridde ku myaka 88,1,1,1,1,True,True,True
fabricated video alleges trump declared war nigerian terrorists,0,0,0,0,True,True,True
police e kyankwanzi ekutte omukazi ateeberezebwa okutta omwana wa muggyawe,1,1,1,1,True,True,True
akakiiko kebyokulonda kasisinkanye ababaka babesimbyewo ku bwa president mu kalulu ka 2026 bakubye tooci mu kakuyege eyakakolebwa,1,1,1,1,True,True,True
abayizi ba p7 batandise okukola ebibuuzo bya ple 2024 abasibe 323 bebatuulidde mu makomera,1,1,1,1,True,True,True
roundup top five claims factchecked week,0,0,0,0,True,True,True
guine un discours autocritique faussement attribu au gnral mamadi doumbouya,0,0,0,0,True,True,True
abayizi 142009 bebagenda okutuula ebigezo bya s6 uneb 2024,1,1,1,1,True,True,True
fake naymotes 2025 meter report covers one year boakais administration,0,0,0,0,True,True,True
exclusive judge bukirwa highstakes meeting museveni secure position,1,1,1,0,True,True,False
omuliro gukutte ekiziimbe mu kisenyi mu kampala ebintu bitokomose,1,1,1,1,True,True,True
le chef dtatmajor de larme de terre de cte d8217ivoire auraitil disparu,0,0,0,0,True,True,True
omuliro gusaanyizaawo ennyumba ya ssentebe wekyalo mu district ye mpigi abawaka bonna tebabaddeewo,1,1,1,1,True,True,True
fake publish viral graphic 7 habits lead brain stroke,0,0,0,0,True,True,True
profvincent kakembo atuuziddwa nga vice chancellor wa muteesa royal university ku matikkira agomulundi ogwe 12,1,1,1,1,True,True,True
